NOMBDEP,NOMBPROV,NOMBDIST,MES,TEMP_MAX,Clasificacion_Climatica,TIZON_PROMEDIO,TEMP_MIN,PRECIPITACION,UBIGEO,NEVADA,EROSION_PROMEDIO
AMAZONAS,BAGUA,ARAMANGO,ENERO,0.7090396895663023,1,0.0,0.791465300959797,0.17978987322853768,10202,0.0,0.09428249625483164
AMAZONAS,BAGUA,BAGUA,ENERO,0.8686112608790364,6,15.945945945945946,0.8810226990295222,0.07467982012828152,10201,0.0,0.1453159473912901
AMAZONAS,BAGUA,COPALLIN,ENERO,0.7023268293324396,6,2.335443037974684,0.7892371463140824,0.10017268611463985,10203,0.0,0.07970220942827569
AMAZONAS,BAGUA,EL PARCO,ENERO,0.8455657988012719,6,0.0,0.8896455949238142,0.08045767869330434,10204,0.0,0.07724187248948985
AMAZONAS,BAGUA,IMAZA,ENERO,0.7377715595271037,1,0.077614847061519,0.8434017112931507,0.43548293520226006,10205,0.0,0.02719429136847011
AMAZONAS,BAGUA,LA PECA,ENERO,0.7601008280070374,6,0.9009009009009008,0.8280255479498567,0.09219687951011397,10206,0.0,0.11668364698096689
AMAZONAS,BONGARA,CHISQUILLA,ENERO,0.3968833040719482,1,80.59701492537313,0.6014396729454463,0.3098725064280228,10302,0.0,0.04295764016265043
AMAZONAS,BONGARA,CHURUJA,ENERO,0.5011995338830377,6,16.46825396825397,0.6690468075381494,0.12179322729349218,10303,0.0,0.14555621904038932
AMAZONAS,BONGARA,COROSHA,ENERO,0.4779920420948182,1,87.70950443786981,0.6486956455163129,0.2429350750412573,10304,0.0,0.05744764213273178
AMAZONAS,BONGARA,CUISPES,ENERO,0.5117410128412798,6,81.18987341772151,0.6766594824777322,0.12622546765776824,10305,0.0,0.0640045635483403
AMAZONAS,BONGARA,FLORIDA,ENERO,0.47670876888720354,1,84.07182320441989,0.6508567296934877,0.14806458246272608,10306,0.0,0.08064651539435042
AMAZONAS,BONGARA,JAZAN,ENERO,0.5662759255720262,6,53.6969696969697,0.7076056166230926,0.08958666348390033,10307,0.0,0.26053417853365224
AMAZONAS,BONGARA,JUMBILLA,ENERO,0.43182632620289957,1,86.45325203252031,0.6178750482441752,0.1817966508888951,10301,0.0,0.11317324163795556
AMAZONAS,BONGARA,RECTA,ENERO,0.46954532158974843,1,92.05434782608695,0.6362754948302158,0.1863576671234112,10308,0.0,0.0793848028600855
AMAZONAS,BONGARA,SAN CARLOS,ENERO,0.4292108563640252,1,86.60239361702128,0.6191949152912248,0.15687000115025104,10309,0.0,0.10300536630034916
AMAZONAS,BONGARA,SHIPASBAMBA,ENERO,0.5287742027097251,6,78.55016181229773,0.6905562895258313,0.14839693035630683,10310,0.0,0.18992891889712377
AMAZONAS,BONGARA,VALERA,ENERO,0.5095368850753876,6,86.01412579957356,0.6684005996831075,0.14156402855843697,10311,0.0,0.3431476060603887
AMAZONAS,BONGARA,YAMBRASBAMBA,ENERO,0.5855642383063746,1,27.09183673469388,0.7333438479653296,0.2465906110730937,10312,0.0,0.020805059217830334
AMAZONAS,CHACHAPOYAS,ASUNCION,ENERO,0.4078218732497297,1,91.93103448275863,0.5990751746587735,0.1998155276783152,10102,0.0,0.07362638805629139
AMAZONAS,CHACHAPOYAS,BALSAS,ENERO,0.466674501211694,1,64.14844992050874,0.6629388508657476,0.15371087896098679,10103,0.0,0.6380770231979603
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,ENERO,0.48169466280639667,1,81.26488095238095,0.6388205480659506,0.15694053334850522,10101,0.0,0.3032562119592569
AMAZONAS,CHACHAPOYAS,CHETO,ENERO,0.4541540232901186,1,87.96843306288034,0.6353869281857211,0.21259525292762949,10104,0.0,0.14519154068992252
AMAZONAS,CHACHAPOYAS,CHILIQUIN,ENERO,0.4320141774967429,1,89.12372122762147,0.6183633061072861,0.18517630745863345,10105,0.0,0.14102127477263005
AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,ENERO,0.40216613120477623,1,78.14715621347877,0.6116913467071268,0.22407725233600023,10106,0.0,0.4772791419463167
AMAZONAS,CHACHAPOYAS,GRANADA,ENERO,0.3072979016624929,3,90.26134910485932,0.5367425151223444,0.27577969481731895,10107,0.0,0.18753047244262788
AMAZONAS,CHACHAPOYAS,HUANCAS,ENERO,0.5233258860363517,6,87.31684981684982,0.6684914825431683,0.15540371341717552,10108,0.0,0.5554175311931859
AMAZONAS,CHACHAPOYAS,LA JALCA,ENERO,0.3821215502876582,1,85.19001164822365,0.5806802194258505,0.24260114287500179,10109,0.0,0.23887174939093342
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,ENERO,0.3010909161176973,1,88.24750948766604,0.5323261078430918,0.21434441604930204,10110,0.0,0.3759438029466517
AMAZONAS,CHACHAPOYAS,LEVANTO,ENERO,0.41314738239864573,1,90.0594362745098,0.5995395263099761,0.1878674765687632,10111,0.0,0.3687152621116482
AMAZONAS,CHACHAPOYAS,MAGDALENA,ENERO,0.42018001664413757,1,86.99312363834423,0.6023586072876016,0.21191578763937105,10112,0.0,0.2708220243320227
AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,ENERO,0.38670995790903323,1,88.5150505514706,0.5835283298189233,0.2270657097172693,10113,0.0,0.2908376339135721
AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,ENERO,0.41611673371808616,1,69.0419013350021,0.608990529081777,0.24749303635659936,10114,0.0,0.10447271133990833
AMAZONAS,CHACHAPOYAS,MONTEVIDEO,ENERO,0.39071984090661366,1,88.44808377896614,0.5952309068348959,0.22587677061366598,10115,0.0,0.15925129891030596
AMAZONAS,CHACHAPOYAS,OLLEROS,ENERO,0.3422160380717482,1,84.36773255813954,0.5613847803021458,0.3049702470999777,10116,0.0,0.1416255178990356
AMAZONAS,CHACHAPOYAS,QUINJALCA,ENERO,0.36548451669833465,1,92.63937664618086,0.5735962008710402,0.26001017809731863,10117,0.0,0.14896489426852907
